source,target
11905998,15208289
11905998,15393805
11905998,15394603
11905998,15417421
11905998,15458568
11905998,15533729
11905998,15545880
11905998,15583445
11905998,15583631
11905998,15624992
11905998,9102775
11912689,11955077
11912689,11955118
11912689,12077872
11912689,12097244
11912689,12149481
11912689,12149789
11912689,12159845
11912689,12290248
11912689,12301487
11912689,13372650
11912689,13730932
11912689,13759894
11912689,13760826
11912689,13772089
11912689,13783640
11912689,13783843
11912689,13794057
11912689,13794457
11912689,13806133
11912689,13836647
11912689,13886297
11912689,13911686
11912689,13912008
11912689,13912866
11912689,13961465
11912689,15066663
11912689,15108599
11912689,15145874
11912689,15208289
11912689,15393805
11912689,15394603
11912689,15417421
11912689,15458568
11912689,15533729
11912689,15545880
11912689,15583445
11912689,15583631
11912689,15624992
11912689,9102775
11955077,11955118
11955077,12077872
11955077,12097244
11955077,12149481
11955077,12149789
11955077,12159845
11955077,12290248
11955077,12301487
11955077,13372650
11955077,13730932
11955077,13759894
11955077,13760826
11955077,13772089
11955077,13783640
11955077,13783843
11955077,13794057
11955077,13794457
11955077,13806133
11955077,13836647
11955077,13886297
11955077,13911686
11955077,13912008
11955077,13912866
11955077,13961465
11955077,15066663
11955077,15108599
11955077,15145874
11955077,15208289
11955077,15393805
11955077,15394603
11955077,15417421
11955077,15458568
11955077,15533729
11955077,15545880
11955077,15583445
11955077,15583631
11955077,15624992
11955077,9102775
11955118,12077872
11955118,12097244
11955118,12149481
11955118,12149789
11955118,12159845
11955118,12290248
11955118,12301487
11955118,13372650
11955118,13730932
11955118,13759894
11955118,13760826
11955118,13772089
11955118,13783640
11955118,13783843
11955118,13794057
11955118,13794457
11955118,13806133
11955118,13836647
11955118,13886297
11955118,13911686
11955118,13912008
11955118,13912866
11955118,13961465
11955118,15066663
11955118,15108599
11955118,15145874
11955118,15208289
11955118,15393805
11955118,15394603
11955118,15417421
11955118,15458568
11955118,15533729
11955118,15545880
11955118,15583445
11955118,15583631
11955118,15624992
11955118,9102775
12077872,12097244
12077872,12149481
12077872,12149789
12077872,12159845
12077872,12290248
12077872,12301487
12077872,13372650
12077872,13730932
12077872,13759894
12077872,13760826
12077872,13772089
12077872,13783640
12077872,13783843
12077872,13794057
12077872,13794457
12077872,13806133
12077872,13836647
12077872,13886297
12077872,13911686
12077872,13912008
12077872,13912866
12077872,13961465
12077872,15066663
12077872,15108599
12077872,15145874
12077872,15208289
12077872,15393805
12077872,15394603
12077872,15417421
12077872,15458568
12077872,15533729
12077872,15545880
12077872,15583445
12077872,15583631
12077872,15624992
12077872,9102775
12097244,12149481
12097244,12149789
12097244,12159845
12097244,12290248
12097244,12301487
12097244,13372650
12097244,13730932
12097244,13759894
12097244,13760826
12097244,13772089
12097244,13783640
12097244,13783843
12097244,13794057
12097244,13794457
12097244,13806133
12097244,13836647
